Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
-9223372036854775808,1,1,0,0,0,0
-9223372036854775808,0,1,0,0,0,0
-9223372036854775808,0,1,0,0,0,0
-9223372036854775808,1,2,0,0,0,0
-9223372036854775808,1,3,0,0,0,0
-9223372036854775808,0,3,0,0,0,0
-9223372036854775808,0,3,0,0,0,0
-9223372036854775808,0,3,0,0,0,0
-9223372036854775808,0,3,0,0,0,0
-9223372036854775808,0,3,0,0,0,0
-9223372036854775808,0,3,0,0,0,0
-9223372036854775808,0,3,0,0,0,0
-9223372036854775808,0,3,0,0,0,0
-9223372036854775808,0,3,0,0,0,0
-9223372036854775808,0,3,1,1,0,0
-9223372036854775808,0,3,0,1,0,0
-9223372036854775808,0,3,0,1,0,0
-9223372036854775808,0,3,1,2,0,0
-9223372036854775808,0,3,0,2,0,0
-9223372036854775808,0,3,0,2,0,0
-9223372036854775808,0,3,0,2,0,0
-9223372036854775808,0,3,1,3,0,0
-9223372036854775808,0,3,0,3,0,0
-9223372036854775808,0,3,0,3,0,0
-9223372036854775808,0,3,0,3,0,0
-9223372036854775808,0,3,0,3,0,0
-9223372036854775808,0,3,0,3,0,0
-9223372036854775808,0,3,0,3,0,0
-9223372036854775808,0,3,0,3,0,0
-9223372036854775808,0,3,0,3,0,0
-9223372036854775808,0,3,0,3,0,0
-9223372036854775808,0,3,0,3,0,0
-9223372036854775808,2,5,0,3,0,0
-9223372036854775808,1,6,0,3,0,0
-9223372036854775808,22,28,0,3,0,0
-9223372036854775808,2,30,0,3,0,0
-9223372036854775808,1,31,0,3,0,0
-9223372036854775808,3,34,0,3,0,0
-9223372036854775808,5,39,0,3,0,0
-9223372036854775808,9,48,0,3,0,0
-9223372036854775808,15,63,1,4,0,0
-9223372036854775808,8,71,0,4,0,0
-9223372036854775808,10,81,0,4,1,1
-9223372036854775808,10,91,6,10,0,1
-9223372036854775808,11,102,0,10,1,2
-9223372036854775808,10,112,3,13,0,2
-9223372036854775808,14,126,1,14,0,2
-9223372036854775808,20,146,1,15,1,3
-9223372036854775808,25,171,0,15,0,3
-9223372036854775808,27,198,5,20,1,4
-9223372036854775808,58,256,3,23,0,4
-9223372036854775808,78,334,0,23,0,4
-9223372036854775808,69,403,0,23,3,7
-9223372036854775808,94,497,2,25,2,9
-9223372036854775808,74,571,15,40,1,10
-9223372036854775808,86,657,3,43,1,11
-9223372036854775808,73,730,7,50,5,16
-9223372036854775808,153,883,25,75,3,19
-9223372036854775808,136,1019,10,85,5,24
-9223372036854775808,120,1139,17,102,3,27
-9223372036854775808,187,1326,35,137,14,41
-9223372036854775808,309,1635,13,150,6,47
