Unnamed: 0,Date,State,Confirmed,Deceased,Recovered,State_Name
0,-9223372036854775808,AN,0,0,0,Andaman and Nicobar Islands
1,-9223372036854775808,AP,67,0,1,Andhra Pradesh
2,-9223372036854775808,AR,0,0,0,Arunachal Pradesh
3,-9223372036854775808,AS,15,0,0,Assam
4,-9223372036854775808,BR,3,0,0,Bihar
5,-9223372036854775808,CH,2,0,0,Chandigarh
6,-9223372036854775808,CT,0,0,0,Chhattisgarh
7,-9223372036854775808,DD,0,0,0,Daman and Diu
8,-9223372036854775808,DL,32,0,0,Delhi
9,-9223372036854775808,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
10,-9223372036854775808,GA,0,0,0,Goa
11,-9223372036854775808,GJ,13,0,0,Gujarat
12,-9223372036854775808,HP,0,0,0,Himachal Pradesh
13,-9223372036854775808,HR,0,0,10,Haryana
14,-9223372036854775808,JH,0,0,0,Jharkhand
15,-9223372036854775808,JK,7,0,1,Jammu and Kashmir
16,-9223372036854775808,KA,9,0,1,Karnataka
17,-9223372036854775808,KL,24,0,2,Kerala
18,-9223372036854775808,LA,0,0,0,Ladakh
19,-9223372036854775808,LD,0,0,0,Lakshadweep
20,-9223372036854775808,MH,33,3,0,Maharashtra
21,-9223372036854775808,ML,0,0,0,Meghalaya
22,-9223372036854775808,MN,0,0,0,Manipur
23,-9223372036854775808,MP,32,1,0,Madhya Pradesh
24,-9223372036854775808,MZ,0,0,0,Mizoram
25,-9223372036854775808,NL,0,0,0,Nagaland
26,-9223372036854775808,OR,1,0,1,Odisha
27,-9223372036854775808,PB,4,0,0,Punjab
28,-9223372036854775808,PY,2,0,0,Puducherry
29,-9223372036854775808,RJ,27,0,0,Rajasthan
30,-9223372036854775808,SK,0,0,0,Sikkim
31,-9223372036854775808,TG,30,3,0,Telangana
32,-9223372036854775808,TN,110,0,0,Tamil Nadu
33,-9223372036854775808,TR,0,0,0,Tripura
34,-9223372036854775808,TT,424,9,16,Total
35,-9223372036854775808,UN,0,0,0,State Unassigned
36,-9223372036854775808,UP,13,2,0,Uttar Pradesh
37,-9223372036854775808,UT,0,0,0,Uttarakhand
38,-9223372036854775808,WB,0,0,0,West Bengal
39,-9223372036854775808,AN,88,2,12,Andaman and Nicobar Islands
40,-9223372036854775808,AP,9276,58,12750,Andhra Pradesh
41,-9223372036854775808,AR,83,0,51,Arunachal Pradesh
42,-9223372036854775808,AS,1457,3,1085,Assam
43,-9223372036854775808,BR,3521,14,1823,Bihar
44,-9223372036854775808,CH,28,3,16,Chandigarh
45,-9223372036854775808,CT,235,1,380,Chhattisgarh
46,-9223372036854775808,DD,0,0,0,Daman and Diu
47,-9223372036854775808,DL,1118,26,1201,Delhi
48,-9223372036854775808,DN,45,0,30,Dadra and Nagar Haveli and Daman and Diu
49,-9223372036854775808,GA,280,3,227,Goa
50,-9223372036854775808,GJ,1136,24,875,Gujarat
51,-9223372036854775808,HP,70,0,43,Himachal Pradesh
52,-9223372036854775808,HR,793,7,853,Haryana
53,-9223372036854775808,JH,790,8,170,Jharkhand
54,-9223372036854775808,JK,613,11,654,Jammu and Kashmir
55,-9223372036854775808,KA,5172,98,3860,Karnataka
56,-9223372036854775808,KL,1129,8,752,Kerala
